Passage,NewID,WordNo,Sentence,WordID,IDEnd,IDBegin,Word,WordWithPunctuation,WordNoPunctuation,WP,WL,WordClass,CosineSimilarity_Content_Sentence,PartOfSpeech
1,1Aw01,1,1,Aw01,Aw01,Aw01,In,In,In,1,2,Function,null,ADP
1,1Aw02,2,1,Aw02,Aw02,Aw02,the,the,the,2,3,Function,null,PRON
1,1Aw03,3,1,Aw03,Aw03,Aw03,right,right,right,3,5,Content,null,INTJ
1,1Aw04,4,1,Aw04,Middle1,Middle1,"hands,","hands,",hands,4,5,Content,0.1989072908515118,NOUN
1,1Aw05,5,1,Aw05,Middle1,Middle1,location,location,location,5,8,Content,0.03894924957266786,NOUN
1,1Aw06,6,1,Aw06,Middle1,Middle1,data,data,data,6,4,Content,0.1480623099360855,NOUN
1,1Aw07,7,1,Aw07,Middle1,Middle1,can,can,can,7,3,Function,0.26940090221007745,AUX
1,1Aw08,8,1,Aw08,Middle1,Middle1,be,be,be,8,2,Content,0.18641172123659788,AUX
1,1Aw09,9,1,Aw09,Middle1,Middle1,a,a,a,9,1,Function,null,INTJ
1,1Aw10,10,1,Aw10,AEN-2,AEN-2,force,force,force,10,5,Content,0.17273620646523294,NOUN
1,1Aw11,11,1,Aw11,AEN-1,AEN-1,for,for,for,11,3,Function,0.30677458153967363,ADP
1,1Aw12,12,1,Aw12,AEN,AEN,good.,good.,good,12,4,Content,0.23564492571907833,ADJ
1,1Bw01,13,2,Bw01,Bw01,Bw01,It,It,It,1,2,Function,null,PRON
1,1Bw02,14,2,Bw02,Bw02,Bw02,can,can,can,2,3,Function,null,AUX
1,1Bw03,15,2,Bw03,Bw03,Bw03,provide,provide,provide,3,7,Content,null,VERB
1,1Bw04,16,2,Bw04,Middle2,Middle2,publishers,publishers,publishers,4,10,Content,0.05021832830769689,NOUN
1,1Bw05,17,2,Bw05,Middle2,Middle2,and,and,and,5,3,Function,null,CCONJ
1,1Bw06,18,2,Bw06,Middle2,Middle2,app,app,app,6,3,Content,0.2927269436031827,NOUN
1,1Bw07,19,2,Bw07,Middle2,Middle2,developers,developers,developers,7,10,Content,0.4614679330026811,NOUN
1,1Bw08,20,2,Bw08,Middle2,Middle2,with,with,with,8,4,Function,0.11104168947063356,ADP
1,1Bw09,21,2,Bw09,Middle2,Middle2,advertising,advertising,advertising,9,11,Content,0.3431452923404136,NOUN
1,1Bw10,22,2,Bw10,Middle2,Middle2,revenue,revenue,revenue,10,7,Content,0.3593335343907627,NOUN
1,1Bw11,23,2,Bw11,Middle2,Middle2,so,so,so,11,2,Function,0.15914070482757112,ADV
1,1Bw12,24,2,Bw12,Middle2,Middle2,consumers,consumers,consumers,12,9,Content,0.4435474990678441,NOUN
1,1Bw13,25,2,Bw13,Middle2,Middle2,can,can,can,13,3,Function,0.1667019661012484,AUX
1,1Bw14,26,2,Bw14,Middle2,Middle2,access,access,access,14,6,Content,0.27431249930033397,NOUN
1,1Bw15,27,2,Bw15,Middle2,Middle2,free,free,free,15,4,Content,0.2546544226358144,ADJ
1,1Bw16,28,2,Bw16,BEN-2,BEN-2,services,services,services,16,8,Content,0.38203255223803967,NOUN
1,1Bw17,29,2,Bw17,BEN-1,BEN-1,and,and,and,17,3,Function,null,CCONJ
1,1Bw18,30,2,Bw18,BEN,BEN,information.,information.,information,18,11,Content,0.3133981572926922,NOUN
2,2Aw01,1,1,Aw01,Aw01,Aw01,Paying,Paying,Paying,1,6,Content,null,VERB
2,2Aw02,2,1,Aw02,Aw02,Aw02,for,for,for,2,3,Function,0.21808398470933635,ADP
2,2Aw03,3,1,Aw03,Aw03,Aw03,college,college,college,3,7,Content,0.1506922068259221,NOUN
2,2Aw04,4,1,Aw04,Middle1,Middle1,seems,seems,seems,4,5,Content,0.1230152210150692,VERB
2,2Aw05,5,1,Aw05,Middle1,Middle1,out,out,out,5,3,Function,0.15622136482243215,ADP
2,2Aw06,6,1,Aw06,Middle1,Middle1,of,of,of,6,2,Function,null,ADP
2,2Aw07,7,1,Aw07,Middle1,Middle1,reach,reach,reach,7,5,Content,0.10648748095372342,NOUN
2,2Aw08,8,1,Aw08,Middle1,Middle1,for,for,for,8,3,Function,0.3370320181711861,ADP
2,2Aw09,9,1,Aw09,Middle1,Middle1,many,many,many,9,4,Content,0.24709628696712696,ADJ
2,2Aw10,10,1,Aw10,Middle1,Middle1,"Americans,","Americans,",Americans,10,9,Content,0.1638814176956283,PROPN
2,2Aw11,11,1,Aw11,Middle1,Middle1,so,so,so,11,2,Function,0.4542673730321901,ADV
2,2Aw12,12,1,Aw12,Middle1,Middle1,the,the,the,12,3,Function,0.29110453317500384,PRON
2,2Aw13,13,1,Aw13,Middle1,Middle1,idea,idea,idea,13,4,Content,0.2099705336600825,NOUN
2,2Aw14,14,1,Aw14,Middle1,Middle1,of,of,of,14,2,Function,null,ADP
2,2Aw15,15,1,Aw15,Middle1,Middle1,free,free,free,15,4,Content,0.1791321879522077,ADJ
2,2Aw16,16,1,Aw16,Middle1,Middle1,college,college,college,16,7,Content,0.4924876671748635,NOUN
2,2Aw17,17,1,Aw17,AEN-2,AEN-2,has,has,has,17,3,Content,0.196955007881425,VERB
2,2Aw18,18,1,Aw18,AEN-1,AEN-1,broad,broad,broad,18,5,Content,0.1287703672055403,ADJ
2,2Aw19,19,1,Aw19,AEN,AEN,appeal.,appeal.,appeal,19,6,Content,0.1871122719301993,NOUN
2,2Bw01,20,2,Bw01,Bw01,Bw01,Several,Several,Several,1,7,Content,null,ADJ
2,2Bw02,21,2,Bw02,Bw02,Bw02,Democratic,Democratic,Democratic,2,10,Content,0.010295379445861823,ADJ
2,2Bw03,22,2,Bw03,Bw03,Bw03,presidential,presidential,presidential,3,12,Content,0.3511892249027988,ADJ
2,2Bw04,23,2,Bw04,Middle2,Middle2,candidates,candidates,candidates,4,10,Content,0.3864929811039248,NOUN
2,2Bw05,24,2,Bw05,Middle2,Middle2,and,and,and,5,3,Function,null,CCONJ
2,2Bw06,25,2,Bw06,Middle2,Middle2,members,members,members,6,7,Content,0.2250043237792501,NOUN
2,2Bw07,26,2,Bw07,Middle2,Middle2,of,of,of,7,2,Function,null,ADP
2,2Bw08,27,2,Bw08,Middle2,Middle2,Congress,Congress,Congress,8,8,Content,0.3528632381892595,PROPN
2,2Bw09,28,2,Bw09,BEN-2,BEN-2,have,have,have,9,4,Content,0.20211223690894412,VERB
2,2Bw10,29,2,Bw10,BEN-1,BEN-1,endorsed,endorsed,endorsed,10,8,Content,0.3056157596337719,VERB
2,2Bw11,30,2,Bw11,BEN,BEN,it.,it.,it,11,2,Function,0.18857027241862498,PRON
3,3Aw01,1,1,Aw01,Aw01,Aw01,Very,Very,Very,1,4,Content,null,ADV
3,3Aw02,2,1,Aw02,Aw02,Aw02,few,few,few,2,3,Content,0.18984218873220016,ADJ
3,3Aw03,3,1,Aw03,Aw03,Aw03,issues,issues,issues,3,6,Content,0.14730018791399555,NOUN
3,3Aw04,4,1,Aw04,Middle1,Middle1,can,can,can,4,3,Function,0.27303981047049225,AUX
3,3Aw05,5,1,Aw05,Middle1,Middle1,bring,bring,bring,5,5,Content,0.19822961978623127,VERB
3,3Aw06,6,1,Aw06,Middle1,Middle1,together,together,together,6,8,Content,0.30000838998493606,ADV
3,3Aw07,7,1,Aw07,Middle1,Middle1,lawmakers,lawmakers,lawmakers,7,9,Content,0.16010041370735328,NOUN
3,3Aw08,8,1,Aw08,AEN-2,AEN-2,of,of,of,8,2,Function,null,ADP
3,3Aw09,9,1,Aw09,AEN-1,AEN-1,both,both,both,9,4,Function,0.437474755237959,PRON
3,3Aw10,10,1,Aw10,AEN,AEN,parties.,parties.,parties,10,7,Content,0.33400488099464337,NOUN
