Passage,NewID,WordNoPunctuation,Word,WordClass,PartOfSpeech,CosineSimilarity,CosineSimilarity_Normalized
1,1Aw01,Very,Very,Content,ADV,null,null
1,1Aw02,few,few,Content,ADJ,0.1898422,0.18984218
1,1Aw03,issues,issues,Content,NOUN,0.1473002,0.14714448
1,1Aw04,can,can,Function,AUX,0.2730398,0.2796411
1,1Aw05,bring,bring,Content,VERB,0.19822963,0.19740435
1,1Aw06,together,together,Content,ADV,0.3000084,0.30320165
1,1Aw07,lawmakers,lawmakers,Content,NOUN,0.1601004,0.15327188
1,1Aw08,of,of,Function,ADP,null,null
1,1Aw09,both,both,Function,DET,0.43747476,0.4557836
1,1Aw10,parties,parties.,Content,NOUN,0.3340049,0.3148071
1,1Bw01,Animal,Animal,Content,ADJ,0.032539517,0.03415679
1,1Bw02,cruelty,cruelty,Content,NOUN,0.201835,0.18503766
1,1Bw03,is,is,Content,AUX,0.22942315,0.24087803
1,1Bw04,one,one,Function,NUM,0.35524753,0.38504595
1,1Bw05,of,of,Function,ADP,null,null
1,1Bw06,them,them.,Function,PRON,0.4104331,0.40923378
2,2Aw01,Koalas,Koalas,Content,NOUN,null,null
2,2Aw02,have,have,Content,AUX,0.10662718,0.10662718
2,2Aw03,been,been,Content,AUX,0.28827062,0.43044084
2,2Aw04,running,running,Content,VERB,0.06894162,0.11165091
2,2Aw05,into,into,Function,ADP,0.12587664,0.15805265
2,2Aw06,hard,hard,Content,ADJ,0.1536446,0.19318111
2,2Aw07,times,times.,Content,NOUN,0.3459078,0.37875462
2,2Bw01,They,They,Function,PRON,0.34306002,0.36017826
2,2Bw02,have,have,Content,AUX,0.6229417,0.71026146
2,2Bw03,suffered,suffered,Content,VERB,0.19771197,0.22245003
2,2Bw04,for,for,Function,ADP,0.35161564,0.38743857
2,2Bw05,years,years,Content,NOUN,0.3660193,0.38751054
2,2Bw06,from,from,Function,ADP,0.20044647,0.20785621
2,2Bw07,habitat,habitat,Content,NOUN,0.21339075,0.14225797
2,2Bw08,destruction,"destruction,",Content,NOUN,0.17589985,0.14228332
2,2Bw09,dog,dog,Content,NOUN,0.24750407,0.21279114
2,2Bw10,attacks,"attacks,",Content,NOUN,0.2627325,0.26427957
2,2Bw11,automobile,automobile,Content,NOUN,0.17192723,0.16937663
2,2Bw12,accidents,accidents.,Content,NOUN,0.3738218,0.3511905
3,3Aw01,Pancreatic,Pancreatic,Content,ADJ,null,null
3,3Aw02,cancer,cancer,Content,NOUN,0.49660572,0.4966058
3,3Aw03,has,has,Content,VERB,0.04361205,0.044406176
3,3Aw04,a,a,Function,DET,null,null
3,3Aw05,bad,bad,Content,ADJ,0.08299454,0.097843535
3,3Aw06,reputation,reputation.,Content,NOUN,0.15723279,0.1872188
3,3Bw01,It,It,Function,PRON,0.19328211,0.21480057
3,3Bw02,is,is,Content,AUX,0.2381718,0.2931546
3,3Bw03,a,a,Function,DET,null,null
3,3Bw04,terrible,terrible,Content,ADJ,0.3522945,0.37839723
3,3Bw05,disease,"disease,",Content,NOUN,0.46131217,0.40811577
3,3Bw06,but,but,Function,CCONJ,0.3059001,0.34828076
3,3Bw07,most,most,Content,ADJ,0.2204022,0.23601481
3,3Bw08,people,people,Content,NOUN,0.23526634,0.25154722
3,3Bw09,do,do,Content,AUX,0.34027842,0.38164842
3,3Bw10,not,not,Content,PART,0.44613707,0.5136598
3,3Bw11,realize,realize,Content,VERB,0.3086786,0.34533376
3,3Bw12,there,there,Content,PRON,0.36157948,0.4122355
3,3Bw13,are,are,Content,VERB,0.33944914,0.38869807
3,3Bw14,ways,ways,Content,NOUN,0.2916653,0.2986323
3,3Bw15,that,that,Function,PRON,0.52273065,0.56928873
3,3Bw16,early,early,Content,ADJ,0.22022592,0.22356717
3,3Bw17,detection,detection,Content,NOUN,0.198805,0.17414999
3,3Bw18,can,can,Function,AUX,0.43327844,0.48160902
3,3Bw19,help,help.,Content,VERB,0.35927936,0.36552036
4,4Aw01,Some,Some,Function,DET,null,null
4,4Aw02,nutrition,nutrition,Content,NOUN,null,null
4,4Aw03,experts,experts,Content,NOUN,0.16736597,0.167366
4,4Aw04,say,say,Content,VERB,0.18350993,0.19261858
4,4Aw05,eggs,eggs,Content,NOUN,0.16074213,0.1576402
4,4Aw06,are,are,Content,AUX,0.21490256,0.23928519
4,4Aw07,good,good,Content,ADJ,0.21325809,0.22361617
4,4Aw08,for,for,Function,ADP,0.2814923,0.31474054
4,4Aw09,you,"you,",Function,PRON,0.32615405,0.3453861
4,4Aw10,even,even,Content,ADV,0.31321394,0.34740552
4,4Aw11,though,though,Function,SCONJ,0.39806426,0.48795268
4,4Aw12,they,they,Function,PRON,0.47888488,0.53727126
4,4Aw13,are,are,Content,AUX,0.48966864,0.5414067
4,4Aw14,high,high,Content,ADJ,0.19854827,0.21110311
4,4Aw15,in,in,Function,ADP,0.2649505,0.29010674
4,4Aw16,cholesterol,cholesterol.,Content,NOUN,0.3130875,0.27951565
4,4Bw01,Others,Others,Content,NOUN,0.2166127,0.24152452
4,4Bw02,are,are,Content,AUX,0.5836942,0.64501727
4,4Bw03,sure,sure,Content,ADJ,0.30302945,0.334476
4,4Bw04,they,they,Function,PRON,0.52920073,0.57854676
4,4Bw05,are,are,Content,AUX,0.6624288,0.71096003
4,4Bw06,bad,bad.,Content,ADJ,0.3485201,0.35724875
5,5Aw01,Experts,Experts,Content,NOUN,null,null
5,5Aw02,generally,generally,Content,ADV,0.1690041,0.16900411
5,5Aw03,agree,agree,Content,VERB,0.21622252,0.21586809
5,5Aw04,that,that,Function,SCONJ,0.3292762,0.3366451
5,5Aw05,watching,watching,Content,VERB,0.13032414,0.13112333
5,5Aw06,a,a,Function,DET,null,null
5,5Aw07,lot,lot,Content,NOUN,0.3001459,0.31118795
5,5Aw08,of,of,Function,ADP,null,null
5,5Aw09,television,television,Content,NOUN,0.20945002,0.201776
5,5Aw10,is,is,Content,AUX,0.19247913,0.19562763
5,5Aw11,bad,bad,Content,ADJ,0.32516217,0.32866406
5,5Aw12,for,for,Function,ADP,0.31010187,0.3329502
5,5Aw13,children,children.,Content,NOUN,0.19280298,0.19085857
5,5Bw01,Now,Now,Content,INTJ,0.28198743,0.2882378
5,5Bw02,a,a,Function,DET,null,null
5,5Bw03,new,new,Content,ADJ,0.23162854,0.24864954
5,5Bw04,study,study,Content,NOUN,0.19787623,0.18918018
5,5Bw05,suggests,suggests,Content,VERB,0.30677837,0.31706083
5,5Bw06,it,it,Function,PRON,0.454157,0.4723051
5,5Bw07,may,may,Function,AUX,0.4528932,0.4707325
5,5Bw08,not,not,Content,PART,0.52588874,0.5340991
5,5Bw09,be,be,Content,AUX,0.39663142,0.43109804
5,5Bw10,very,very,Content,ADV,0.42320848,0.4435352
5,5Bw11,good,good,Content,ADJ,0.4984924,0.49262175
5,5Bw12,for,for,Function,ADP,0.38128972,0.40638113
5,5Bw13,adults,"adults,",Content,NOUN,0.34803793,0.32988468
5,5Bw14,either,either.,Function,ADV,0.4462275,0.46463454
6,6Aw01,Legislators,Legislators,Content,NOUN,null,null
6,6Aw02,and,and,Function,CCONJ,null,null
6,6Aw03,gun,gun,Content,NOUN,0.15112926,0.15112928
6,6Aw04,safety,safety,Content,NOUN,0.15697788,0.15392038
6,6Aw05,advocates,advocates,Content,NOUN,0.42008072,0.4277042
6,6Aw06,often,often,Content,ADV,0.19310875,0.1915499
6,6Aw07,focus,focus,Content,VERB,0.11104755,0.115246974
6,6Aw08,on,on,Function,ADP,0.17341433,0.18086816
6,6Aw09,how,how,Content,SCONJ,0.251669,0.26743075
6,6Aw10,guns,guns,Content,NOUN,0.44565648,0.40873706
6,6Aw11,are,are,Content,AUX,0.23900221,0.26167455
6,6Aw12,purchased,purchased.,Content,VERB,0.030031914,0.030259322
6,6Bw01,But,But,Function,CCONJ,0.25216573,0.26473725
6,6Bw02,many,many,Content,ADJ,0.40353015,0.44816393
6,6Bw03,lives,lives,Content,NOUN,0.25412107,0.26423022
6,6Bw04,could,could,Function,AUX,0.30162862,0.3218914
6,6Bw05,be,be,Content,AUX,0.31039765,0.33594927
6,6Bw06,saved,"saved,",Content,VERB,0.20040795,0.20171203
6,6Bw07,especially,especially,Content,ADV,0.37771517,0.42126277
6,6Bw08,among,among,Function,ADP,0.26490968,0.2959272
6,6Bw09,children,"children,",Content,NOUN,0.32050845,0.31261674
6,6Bw10,if,if,Function,SCONJ,0.3669411,0.39741284
6,6Bw11,they,they,Function,PRON,0.5148078,0.54126483
6,6Bw12,looked,looked,Content,VERB,0.21549378,0.23378819
6,6Bw13,more,more,Content,ADV,0.3313021,0.35499483
6,6Bw14,at,at,Function,ADP,0.2048519,0.21301894
6,6Bw15,how,how,Content,SCONJ,0.45426983,0.48145002
6,6Bw16,they,they,Function,PRON,0.55439985,0.5751387
6,6Bw17,are,are,Content,AUX,0.48262313,0.52645963
6,6Bw18,stored,stored.,Content,VERB,0.26102912,0.24914446
7,7Aw01,In,In,Function,ADP,null,null
7,7Aw02,general,"general,",Content,ADJ,null,null
7,7Aw03,any,any,Function,DET,0.18848512,0.18848512
7,7Aw04,exercise,exercise,Content,NOUN,0.09025235,0.09025236
7,7Aw05,improves,improves,Content,VERB,0.11960418,0.11670298
7,7Aw06,our,our,Function,PRON,0.21582846,0.22051981
7,7Aw07,health,health.,Content,NOUN,0.25826114,0.2706481
7,7Bw01,But,But,Function,CCONJ,0.15171927,0.15775643
7,7Bw02,a,a,Function,DET,null,null
7,7Bw03,wealth,wealth,Content,NOUN,0.1585021,0.16667648
7,7Bw04,of,of,Function,ADP,null,null
7,7Bw05,recent,recent,Content,ADJ,0.10602725,0.11084391
7,7Bw06,science,science,Content,NOUN,0.25241092,0.26061404
7,7Bw07,and,and,Function,CCONJ,null,null
7,7Bw08,personal,personal,Content,ADJ,0.2835871,0.29576123
7,7Bw09,experience,experience,Content,NOUN,0.3054186,0.29624423
7,7Bw10,indicate,indicate,Content,VERB,0.13181056,0.13686346
7,7Bw11,that,that,Function,SCONJ,0.3073652,0.31954893
7,7Bw12,different,different,Content,ADJ,0.2214671,0.2231259
7,7Bw13,people,people,Content,NOUN,0.2827078,0.2880734
7,7Bw14,can,can,Function,AUX,0.3016388,0.29206643
7,7Bw15,respond,respond,Content,VERB,0.24205063,0.24220051
7,7Bw16,to,to,Function,ADP,null,null
7,7Bw17,similar,similar,Content,ADJ,0.31302592,0.3257134
7,7Bw18,exercise,exercise,Content,NOUN,0.39535412,0.37749073
7,7Bw19,routines,routines,Content,NOUN,0.21444942,0.20607054
7,7Bw20,in,in,Function,ADP,0.30682728,0.32179236
7,7Bw21,different,different,Content,ADJ,0.42807668,0.4483276
7,7Bw22,ways,ways.,Content,NOUN,0.28073508,0.27905568
8,8Aw01,When,When,Content,SCONJ,null,null
8,8Aw02,new,new,Content,ADJ,0.1549787,0.1549787
8,8Aw03,breast,breast,Content,NOUN,0.019921586,0.02177588
8,8Aw04,cancer,cancer,Content,NOUN,0.3806224,0.30208057
8,8Aw05,drugs,drugs,Content,NOUN,0.20683081,0.20761178
8,8Aw06,come,come,Content,VERB,0.12974635,0.17290172
8,8Aw07,to,to,Function,ADP,null,null
8,8Aw08,market,"market,",Content,NOUN,0.12591931,0.14256196
8,8Aw09,there,there,Content,PRON,0.25019914,0.30316168
8,8Aw10,is,is,Content,VERB,0.23321924,0.26608604
8,8Aw11,little,little,Content,ADJ,0.3530638,0.41010317
8,8Aw12,data,data,Content,NOUN,0.17048526,0.16691074
8,8Aw13,to,to,Function,PART,null,null
8,8Aw14,indicate,indicate,Content,VERB,0.22327767,0.24093251
8,8Aw15,whether,whether,Function,SCONJ,0.2942357,0.3296531
8,8Aw16,they,they,Function,PRON,0.41214406,0.45899454
8,8Aw17,are,are,Content,AUX,0.36234483,0.4006093
8,8Aw18,safe,safe,Content,ADJ,0.2495934,0.26686585
8,8Aw19,or,or,Function,CCONJ,0.33859515,0.35317943
8,8Aw20,effective,effective,Content,ADJ,0.26183087,0.2537925
8,8Aw21,in,in,Function,ADP,0.346168,0.37985665
8,8Aw22,men,men.,Content,NOUN,0.21259539,0.20282644
8,8Bw01,Some,Some,Function,DET,0.2076769,0.22394793
8,8Bw02,new,new,Content,ADJ,0.3587667,0.41384098
8,8Bw03,drugs,drugs,Content,NOUN,0.416623,0.36544427
8,8Bw04,are,are,Content,AUX,0.46371052,0.50208116
8,8Bw05,approved,approved,Content,VERB,0.21453646,0.21038902
8,8Bw06,only,only,Content,ADV,0.36672348,0.40454954
8,8Bw07,for,for,Function,ADP,0.41243342,0.4474847
8,8Bw08,women,women.,Content,NOUN,0.348919,0.32763812
9,9Aw01,An,An,Function,DET,null,null
9,9Aw02,extensive,extensive,Content,ADJ,null,null
9,9Aw03,study,study,Content,NOUN,0.12788594,0.12788594
9,9Aw04,confirms,confirms,Content,VERB,0.21929729,0.21963455
9,9Aw05,that,that,Function,SCONJ,0.24879529,0.24857102
9,9Aw06,red,red,Content,ADJ,0.026138077,0.026012145
9,9Aw07,meat,meat,Content,NOUN,0.12872913,0.13226828
9,9Aw08,might,might,Function,AUX,0.16202855,0.16197383
9,9Aw09,not,not,Content,PART,0.20038961,0.20139705
9,9Aw10,be,be,Content,AUX,0.18923171,0.22779767
9,9Aw11,that,that,Function,ADV,0.4753797,0.5309614
9,9Aw12,bad,bad,Content,ADJ,0.23017225,0.25283414
9,9Aw13,for,for,Function,ADP,0.29256195,0.3188219
9,9Aw14,you,you.,Function,PRON,0.27360812,0.3089382
9,9Bw01,But,But,Function,CCONJ,0.30757114,0.32941467
9,9Bw02,it,it,Function,PRON,0.41050082,0.45599064
9,9Bw03,is,is,Content,AUX,0.3660446,0.40279582
9,9Bw04,bad,bad,Content,ADJ,0.46623275,0.46598586
9,9Bw05,for,for,Function,ADP,0.33942103,0.3672577
9,9Bw06,the,the,Function,DET,0.42830008,0.44889516
9,9Bw07,planet,"planet,",Content,NOUN,0.16872102,0.17050008
9,9Bw08,with,with,Function,SCONJ,0.2775003,0.28851417
9,9Bw09,chicken,chicken,Content,NOUN,0.2817651,0.25415412
9,9Bw10,and,and,Function,CCONJ,null,null
9,9Bw11,pork,pork,Content,NOUN,0.3926736,0.34676746
9,9Bw12,less,less,Content,ADV,0.22571176,0.24767731
9,9Bw13,harmful,harmful,Content,ADJ,0.39302924,0.39707524
9,9Bw14,than,than,Function,ADP,0.32269284,0.34929687
9,9Bw15,beef,beef.,Content,NOUN,0.45008624,0.39272887
10,10Aw01,The,The,Function,DET,null,null
10,10Aw02,ground,ground,Content,NOUN,null,null
10,10Aw03,around,around,Function,ADP,0.16696368,0.1669637
10,10Aw04,the,the,Function,DET,0.1665976,0.16659762
10,10Aw05,building,building,Content,NOUN,0.21672124,0.21672127
10,10Aw06,slopes,slopes,Content,VERB,0.2358501,0.2327472
10,10Aw07,away,away.,Content,ADV,0.16717303,0.17888537
10,10Bw01,That,That,Function,PRON,0.14985222,0.16501848
10,10Bw02,allows,allows,Content,VERB,0.052825548,0.05719031
10,10Bw03,the,the,Function,DET,0.26014736,0.28596085
10,10Bw04,classroom,classroom,Content,NOUN,0.22715324,0.2417857
10,10Bw05,windows,windows,Content,NOUN,0.31480986,0.31920666
10,10Bw06,to,to,Function,PART,null,null
10,10Bw07,be,be,Content,AUX,0.11333569,0.12568827
10,10Bw08,low,low,Content,ADJ,0.19062044,0.19698653
10,10Bw09,enough,enough,Content,ADV,0.2552669,0.27048814
10,10Bw10,for,for,Function,SCONJ,0.29556602,0.32517835
10,10Bw11,children,children,Content,NOUN,0.2476073,0.23478407
10,10Bw12,to,to,Function,PART,null,null
10,10Bw13,see,see,Content,VERB,0.2782944,0.29565758
10,10Bw14,out,out,Function,ADP,0.37560457,0.40514714
10,10Bw15,while,while,Function,SCONJ,0.26913786,0.2823671
10,10Bw16,still,still,Content,ADV,0.3522333,0.39308906
10,10Bw17,being,being,Content,AUX,0.28375027,0.3149615
10,10Bw18,high,high,Content,ADV,0.36845684,0.3664665
10,10Bw19,above,above,Function,ADP,0.3935018,0.4028295
10,10Bw20,the,the,Function,DET,0.37779802,0.41328746
