Passage,WordNo,NewID,Sentence,WP,WordNoPunctuation,Word,WordClass,SimilarityWithPrevious,PartOfSpeech
1,1,1Aw01,1,1,Very,Very,Content,null,ADV
1,2,1Aw02,1,2,few,few,Content,0.18984218873220016,ADJ
1,3,1Aw03,1,3,issues,issues,Content,0.14730018791399555,NOUN
1,4,1Aw04,1,4,can,can,Function,0.27303981047049225,AUX
1,5,1Aw05,1,5,bring,bring,Content,0.19822961978623127,VERB
1,6,1Aw06,1,6,together,together,Content,0.30000838998493606,ADV
1,7,1Aw07,1,7,lawmakers,lawmakers,Content,0.16010041370735328,NOUN
1,8,1Aw08,1,8,of,of,Function,null,ADP
1,9,1Aw09,1,9,both,both,Function,0.437474755237959,PRON
1,10,1Aw10,1,10,parties,parties.,Content,0.33400488099464337,NOUN
1,11,1Bw01,2,1,Animal,Animal,Content,null,PROPN
1,12,1Bw02,2,2,cruelty,cruelty,Content,0.41137841492364996,NOUN
1,13,1Bw03,2,3,is,is,Content,0.08655151360476572,AUX
1,14,1Bw04,2,4,one,one,Function,0.19771677247119893,NUM
1,15,1Bw05,2,5,of,of,Function,null,ADP
1,16,1Bw06,2,6,them,them.,Function,0.17945921548980645,PRON
2,1,2Aw01,1,1,Koalas,Koalas,Content,null,PROPN
2,2,2Aw02,1,2,have,have,Content,0.10662717586958625,VERB
2,3,2Aw03,1,3,been,been,Content,0.28827058306859027,AUX
2,4,2Aw04,1,4,running,running,Content,0.06894162300861403,VERB
2,5,2Aw05,1,5,into,into,Function,0.12587664578362712,ADP
2,6,2Aw06,1,6,hard,hard,Content,0.15364461642405988,ADJ
2,7,2Aw07,1,7,times,times.,Content,0.3459077787893644,NOUN
2,8,2Bw01,2,1,They,They,Function,null,PRON
2,9,2Bw02,2,2,have,have,Content,null,VERB
2,10,2Bw03,2,3,suffered,suffered,Content,0.17592643054136153,VERB
2,11,2Bw04,2,4,for,for,Function,0.23141911196059448,ADP
2,12,2Bw05,2,5,years,years,Content,0.24173296114953488,NOUN
2,13,2Bw06,2,6,from,from,Function,0.19174265599102447,ADP
2,14,2Bw07,2,7,habitat,habitat,Content,0.060316160638659945,NOUN
2,15,2Bw08,2,8,destruction,"destruction,",Content,0.23323098350151197,NOUN
2,16,2Bw09,2,9,dog,dog,Content,0.13709937243726922,NOUN
2,17,2Bw10,2,10,attacks,"attacks,",Content,0.26288019300966486,NOUN
2,18,2Bw11,2,11,automobile,automobile,Content,0.18794896178124865,NOUN
2,19,2Bw12,2,12,accidents,accidents.,Content,0.40975338135982375,NOUN
3,1,3Aw01,1,1,Pancreatic,Pancreatic,Content,null,ADJ
3,2,3Aw02,1,2,cancer,cancer,Content,0.49660575476812224,NOUN
3,3,3Aw03,1,3,has,has,Content,0.04361205510073319,VERB
3,4,3Aw04,1,4,a,a,Function,null,INTJ
3,5,3Aw05,1,5,bad,bad,Content,0.08299453866381876,ADJ
3,6,3Aw06,1,6,reputation,reputation.,Content,0.15723279859060496,NOUN
3,7,3Bw01,2,1,It,It,Function,null,PRON
3,8,3Bw02,2,2,is,is,Content,null,AUX
3,9,3Bw03,2,3,a,a,Function,null,INTJ
3,10,3Bw04,2,4,terrible,terrible,Content,0.12493758233585676,ADJ
3,11,3Bw05,2,5,disease,"disease,",Content,0.17549005188103314,NOUN
3,12,3Bw06,2,6,but,but,Function,0.29927916843024377,CCONJ
3,13,3Bw07,2,7,most,most,Content,0.2081632516524678,ADJ
3,14,3Bw08,2,8,people,people,Content,0.29368491927187307,NOUN
3,15,3Bw09,2,9,do,do,Content,0.4133062625880104,VERB
3,16,3Bw10,2,10,not,not,Content,0.5631688404499757,PART
3,17,3Bw11,2,11,realize,realize,Content,0.3966462336675704,VERB
3,18,3Bw12,2,12,there,there,Content,0.4471910592560769,ADV
3,19,3Bw13,2,13,are,are,Content,0.4157920318973795,AUX
3,20,3Bw14,2,14,ways,ways,Content,0.2950817799886219,NOUN
3,21,3Bw15,2,15,that,that,Function,0.560612910398223,SCONJ
3,22,3Bw16,2,16,early,early,Content,0.20562991593742572,ADV
3,23,3Bw17,2,17,detection,detection,Content,0.15578280778682976,NOUN
3,24,3Bw18,2,18,can,can,Function,0.4918996024770204,AUX
3,25,3Bw19,2,19,help,help.,Content,0.3734114699578874,VERB
4,1,4Aw01,1,1,Some,Some,Function,null,PRON
4,2,4Aw02,1,2,nutrition,nutrition,Content,null,NOUN
4,3,4Aw03,1,3,experts,experts,Content,0.16736596319855568,NOUN
4,4,4Aw04,1,4,say,say,Content,0.18350992313140818,VERB
4,5,4Aw05,1,5,eggs,eggs,Content,0.16074215026259975,NOUN
4,6,4Aw06,1,6,are,are,Content,0.21490258057669365,AUX
4,7,4Aw07,1,7,good,good,Content,0.21325810618905636,ADJ
4,8,4Aw08,1,8,for,for,Function,0.28149229850387164,ADP
