Passage,NewID,Word,WordWithPunctuation,WordNoPunctuation,WordClass,PartOfSpeech,CosineSimilarity,CosineSimilarity_Normalized
1,1Aw01,In,In,In,Function,ADP,null,null
1,1Aw02,the,the,the,Function,DET,null,null
1,1Aw03,right,right,right,Content,ADJ,null,null
1,1Aw04,"hands,","hands,",hands,Content,NOUN,0.1989073,0.19890732
1,1Aw05,location,location,location,Content,NOUN,0.038949247,0.049676206
1,1Aw06,data,data,data,Content,NOUN,0.1480623,0.13522033
1,1Aw07,can,can,can,Function,AUX,0.2694009,0.28757456
1,1Aw08,be,be,be,Content,AUX,0.18641172,0.19008955
1,1Aw09,a,a,a,Function,DET,null,null
1,1Aw10,force,force,force,Content,NOUN,0.1727362,0.18887152
1,1Aw11,for,for,for,Function,ADP,0.30677453,0.32999215
1,1Aw12,good.,good.,good,Content,ADJ,0.23564494,0.263035
1,1Bw01,It,It,It,Function,PRON,0.33062622,0.3421288
1,1Bw02,can,can,can,Function,AUX,0.3588087,0.37608507
1,1Bw03,provide,provide,provide,Content,VERB,0.25695986,0.2548521
1,1Bw04,publishers,publishers,publishers,Content,NOUN,0.110919304,0.109212086
1,1Bw05,and,and,and,Function,CCONJ,null,null
1,1Bw06,app,app,app,Content,NOUN,0.34393626,0.30811387
1,1Bw07,developers,developers,developers,Content,NOUN,0.3717358,0.32100543
1,1Bw08,with,with,with,Function,ADP,0.23854864,0.27391514
1,1Bw09,advertising,advertising,advertising,Content,NOUN,0.29176953,0.26265544
1,1Bw10,revenue,revenue,revenue,Content,NOUN,0.34529555,0.32173514
1,1Bw11,so,so,so,Function,SCONJ,0.33201748,0.3797663
1,1Bw12,consumers,consumers,consumers,Content,NOUN,0.41171524,0.38233823
1,1Bw13,can,can,can,Function,AUX,0.29245535,0.32712844
1,1Bw14,access,access,access,Content,VERB,0.33470526,0.34415218
1,1Bw15,free,free,free,Content,ADJ,0.29595977,0.31347045
1,1Bw16,services,services,services,Content,NOUN,0.406915,0.4092649
1,1Bw17,and,and,and,Function,CCONJ,null,null
1,1Bw18,information.,information.,information,Content,NOUN,0.39388308,0.39381152
2,2Aw01,Paying,Paying,Paying,Content,VERB,null,null
2,2Aw02,for,for,for,Function,ADP,0.21808401,0.21808398
2,2Aw03,college,college,college,Content,NOUN,0.15069222,0.1506922
2,2Aw04,seems,seems,seems,Content,VERB,0.12301523,0.122963935
2,2Aw05,out,out,out,Function,ADP,0.15622139,0.15988953
2,2Aw06,of,of,of,Function,ADP,null,null
2,2Aw07,reach,reach,reach,Content,NOUN,0.10648748,0.10508966
2,2Aw08,for,for,for,Function,ADP,0.33703202,0.3374187
2,2Aw09,many,many,many,Content,ADJ,0.2470963,0.24824084
2,2Aw10,"Americans,","Americans,",Americans,Content,PROPN,0.26585785,0.27047038
2,2Aw11,so,so,so,Function,SCONJ,0.43680432,0.45361593
2,2Aw12,the,the,the,Function,DET,0.35632384,0.36046204
2,2Aw13,idea,idea,idea,Content,NOUN,0.20985734,0.21982698
2,2Aw14,of,of,of,Function,ADP,null,null
2,2Aw15,free,free,free,Content,ADJ,0.19587599,0.19377483
2,2Aw16,college,college,college,Content,NOUN,0.4925995,0.48579767
2,2Aw17,has,has,has,Content,VERB,0.23004335,0.24087839
2,2Aw18,broad,broad,broad,Content,ADJ,0.16079633,0.1674411
2,2Aw19,appeal.,appeal.,appeal,Content,NOUN,0.21506587,0.2164876
2,2Bw01,Several,Several,Several,Content,ADJ,0.1430737,0.16436557
2,2Bw02,Democratic,Democratic,Democratic,Content,ADJ,0.18889718,0.18240196
2,2Bw03,presidential,presidential,presidential,Content,ADJ,0.30926958,0.2828399
2,2Bw04,candidates,candidates,candidates,Content,NOUN,0.30675212,0.2827642
2,2Bw05,and,and,and,Function,CCONJ,null,null
2,2Bw06,members,members,members,Content,NOUN,0.2461849,0.24213724
2,2Bw07,of,of,of,Function,ADP,null,null
2,2Bw08,Congress,Congress,Congress,Content,PROPN,0.2870936,0.27044016
2,2Bw09,have,have,have,Content,AUX,0.42500687,0.45912698
2,2Bw10,endorsed,endorsed,endorsed,Content,VERB,0.28740317,0.27714434
2,2Bw11,it.,it.,it,Function,PRON,0.40758097,0.42995
3,3Aw01,Very,Very,Very,Content,ADV,null,null
3,3Aw02,few,few,few,Content,ADJ,0.1898422,0.18984218
3,3Aw03,issues,issues,issues,Content,NOUN,0.1473002,0.14714448
3,3Aw04,can,can,can,Function,AUX,0.2730398,0.2796411
3,3Aw05,bring,bring,bring,Content,VERB,0.19822963,0.19740435
3,3Aw06,together,together,together,Content,ADV,0.3000084,0.30320165
3,3Aw07,lawmakers,lawmakers,lawmakers,Content,NOUN,0.1601004,0.15327188
3,3Aw08,of,of,of,Function,ADP,null,null
3,3Aw09,both,both,both,Function,DET,0.43747476,0.4557836
3,3Aw10,parties.,parties.,parties,Content,NOUN,0.3340049,0.3148071
3,3Bw01,Animal,Animal,Animal,Content,ADJ,0.032539517,0.03415679
3,3Bw02,cruelty,cruelty,cruelty,Content,NOUN,0.201835,0.18503766
3,3Bw03,is,is,is,Content,AUX,0.22942315,0.24087803
3,3Bw04,one,one,one,Function,NUM,0.35524753,0.38504595
3,3Bw05,of,of,of,Function,ADP,null,null
3,3Bw06,them.,them.,them,Function,PRON,0.4104331,0.40923378
4,4Aw01,Koalas,Koalas,Koalas,Content,PROPN,null,null
4,4Aw02,have,have,have,Content,AUX,0.078848734,0.078848734
4,4Aw03,been,been,been,Content,AUX,0.24591172,0.38807952
4,4Aw04,running,running,running,Content,VERB,0.082217105,0.11781902
4,4Aw05,into,into,into,Function,ADP,0.13612321,0.16249673
4,4Aw06,hard,hard,hard,Content,ADJ,0.18165068,0.2079588
4,4Aw07,times.,times.,times,Content,NOUN,0.3640445,0.387129
4,4Bw01,They,They,They,Function,PRON,0.396908,0.39210287
4,4Bw02,have,have,have,Content,AUX,0.62414306,0.70492387
4,4Bw03,suffered,suffered,suffered,Content,VERB,0.21498908,0.23024744
