Passage,WordNo,NewID,Sentence,WP,WordNoPunctuation,Word,WordClass,SimilarityWithPrevious,PartOfSpeech
1,1,1Aw01,1,1,Very,Very,Content,,ADV
1,2,1Aw02,1,2,few,few,Content,,ADJ
1,3,1Aw03,1,3,issues,issues,Content,,NOUN
1,4,1Aw04,1,4,can,can,Function,,AUX
1,5,1Aw05,1,5,bring,bring,Content,,VERB
1,6,1Aw06,1,6,together,together,Content,,ADV
1,7,1Aw07,1,7,lawmakers,lawmakers,Content,,NOUN
1,8,1Aw08,1,8,of,of,Function,,ADP
1,9,1Aw09,1,9,both,both,Function,,PRON
1,10,1Aw10,1,10,parties,parties.,Content,,NOUN
1,11,1Bw01,2,1,Animal,Animal,Content,,PROPN
1,12,1Bw02,2,2,cruelty,cruelty,Content,,NOUN
1,13,1Bw03,2,3,is,is,Content,,AUX
1,14,1Bw04,2,4,one,one,Function,,NUM
1,15,1Bw05,2,5,of,of,Function,,ADP
1,16,1Bw06,2,6,them,them.,Function,,PRON
2,1,2Aw01,1,1,Koalas,Koalas,Content,,PROPN
2,2,2Aw02,1,2,have,have,Content,,VERB
2,3,2Aw03,1,3,been,been,Content,,AUX
2,4,2Aw04,1,4,running,running,Content,,VERB
2,5,2Aw05,1,5,into,into,Function,,ADP
2,6,2Aw06,1,6,hard,hard,Content,,ADJ
2,7,2Aw07,1,7,times,times.,Content,,NOUN
2,8,2Bw01,2,1,They,They,Function,,PRON
2,9,2Bw02,2,2,have,have,Content,,VERB
2,10,2Bw03,2,3,suffered,suffered,Content,,VERB
2,11,2Bw04,2,4,for,for,Function,,ADP
2,12,2Bw05,2,5,years,years,Content,,NOUN
2,13,2Bw06,2,6,from,from,Function,,ADP
2,14,2Bw07,2,7,habitat,habitat,Content,,NOUN
2,15,2Bw08,2,8,destruction,"destruction,",Content,,NOUN
2,16,2Bw09,2,9,dog,dog,Content,,NOUN
2,17,2Bw10,2,10,attacks,"attacks,",Content,,NOUN
2,18,2Bw11,2,11,automobile,automobile,Content,,NOUN
2,19,2Bw12,2,12,accidents,accidents.,Content,,NOUN
3,1,3Aw01,1,1,Pancreatic,Pancreatic,Content,,ADJ
3,2,3Aw02,1,2,cancer,cancer,Content,,NOUN
3,3,3Aw03,1,3,has,has,Content,,VERB
3,4,3Aw04,1,4,a,a,Function,,INTJ
3,5,3Aw05,1,5,bad,bad,Content,,ADJ
3,6,3Aw06,1,6,reputation,reputation.,Content,,NOUN
3,7,3Bw01,2,1,It,It,Function,,PRON
3,8,3Bw02,2,2,is,is,Content,,AUX
3,9,3Bw03,2,3,a,a,Function,,INTJ
3,10,3Bw04,2,4,terrible,terrible,Content,,ADJ
3,11,3Bw05,2,5,disease,"disease,",Content,,NOUN
3,12,3Bw06,2,6,but,but,Function,,CCONJ
3,13,3Bw07,2,7,most,most,Content,,ADJ
3,14,3Bw08,2,8,people,people,Content,,NOUN
3,15,3Bw09,2,9,do,do,Content,,VERB
3,16,3Bw10,2,10,not,not,Content,,PART
3,17,3Bw11,2,11,realize,realize,Content,,VERB
3,18,3Bw12,2,12,there,there,Content,,ADV
3,19,3Bw13,2,13,are,are,Content,,AUX
3,20,3Bw14,2,14,ways,ways,Content,,NOUN
3,21,3Bw15,2,15,that,that,Function,,SCONJ
3,22,3Bw16,2,16,early,early,Content,,ADV
3,23,3Bw17,2,17,detection,detection,Content,,NOUN
3,24,3Bw18,2,18,can,can,Function,,AUX
3,25,3Bw19,2,19,help,help.,Content,,VERB
4,1,4Aw01,1,1,Some,Some,Function,,PRON
4,2,4Aw02,1,2,nutrition,nutrition,Content,,NOUN
4,3,4Aw03,1,3,experts,experts,Content,,NOUN
4,4,4Aw04,1,4,say,say,Content,,VERB
4,5,4Aw05,1,5,eggs,eggs,Content,,NOUN
4,6,4Aw06,1,6,are,are,Content,,AUX
4,7,4Aw07,1,7,good,good,Content,,ADJ
4,8,4Aw08,1,8,for,for,Function,,ADP
4,9,4Aw09,1,9,you,"you,",Function,,PRON
4,10,4Aw10,1,10,even,even,Content,,ADV
4,11,4Aw11,1,11,though,though,Function,,ADV
4,12,4Aw12,1,12,they,they,Function,,PRON
4,13,4Aw13,1,13,are,are,Content,,AUX
4,14,4Aw14,1,14,high,high,Content,,ADJ
4,15,4Aw15,1,15,in,in,Function,,ADP
4,16,4Aw16,1,16,cholesterol,cholesterol.,Content,,NOUN
4,17,4Bw01,2,1,Others,Others,Content,,NOUN
4,18,4Bw02,2,2,are,are,Content,,AUX
4,19,4Bw03,2,3,sure,sure,Content,,INTJ
4,20,4Bw04,2,4,they,they,Function,,PRON
4,21,4Bw05,2,5,are,are,Content,,AUX
4,22,4Bw06,2,6,bad,bad.,Content,,ADJ
5,1,5Aw01,1,1,Experts,Experts,Content,,NOUN
5,2,5Aw02,1,2,generally,generally,Content,,ADV
5,3,5Aw03,1,3,agree,agree,Content,,VERB
5,4,5Aw04,1,4,that,that,Function,,SCONJ
5,5,5Aw05,1,5,watching,watching,Content,,VERB
5,6,5Aw06,1,6,a,a,Function,,INTJ
5,7,5Aw07,1,7,lot,lot,Content,,NOUN
5,8,5Aw08,1,8,of,of,Function,,ADP
5,9,5Aw09,1,9,television,television,Content,,NOUN
5,10,5Aw10,1,10,is,is,Content,,AUX
5,11,5Aw11,1,11,bad,bad,Content,,ADJ
5,12,5Aw12,1,12,for,for,Function,,ADP
5,13,5Aw13,1,13,children,children.,Content,,NOUN
5,14,5Bw01,2,1,Now,Now,Content,,INTJ
5,15,5Bw02,2,2,a,a,Function,,INTJ
5,16,5Bw03,2,3,new,new,Content,,ADJ
5,17,5Bw04,2,4,study,study,Content,,NOUN
5,18,5Bw05,2,5,suggests,suggests,Content,,VERB
5,19,5Bw06,2,6,it,it,Function,,PRON
5,20,5Bw07,2,7,may,may,Function,,AUX
5,21,5Bw08,2,8,not,not,Content,,PART
5,22,5Bw09,2,9,be,be,Content,,AUX
5,23,5Bw10,2,10,very,very,Content,,ADV
5,24,5Bw11,2,11,good,good,Content,,ADJ
5,25,5Bw12,2,12,for,for,Function,,ADP
5,26,5Bw13,2,13,adults,"adults,",Content,,NOUN
5,27,5Bw14,2,14,either,either.,Function,,ADV
6,1,6Aw01,1,1,Legislators,Legislators,Content,,NOUN
6,2,6Aw02,1,2,and,and,Function,,CCONJ
6,3,6Aw03,1,3,gun,gun,Content,,NOUN
6,4,6Aw04,1,4,safety,safety,Content,,NOUN
6,5,6Aw05,1,5,advocates,advocates,Content,,NOUN
6,6,6Aw06,1,6,often,often,Content,,ADV
6,7,6Aw07,1,7,focus,focus,Content,,NOUN
6,8,6Aw08,1,8,on,on,Function,,ADP
6,9,6Aw09,1,9,how,how,Content,,SCONJ
6,10,6Aw10,1,10,guns,guns,Content,,NOUN
6,11,6Aw11,1,11,are,are,Content,,AUX
6,12,6Aw12,1,12,purchased,purchased.,Content,,VERB
6,13,6Bw01,2,1,But,But,Function,,CCONJ
6,14,6Bw02,2,2,many,many,Content,,ADJ
6,15,6Bw03,2,3,lives,lives,Content,,NOUN
6,16,6Bw04,2,4,could,could,Function,,AUX
