Passage,NewID,WordNo,Sentence,WordID,IDEnd,IDBegin,Word,WordWithPunctuation,WordNoPunctuation,WP,WL,WordClass,CosineSimilarity_Content_Sentence,PartOfSpeech
1,1Aw01,1,1,Aw01,Aw01,Aw01,In,In,In,1,2,Function,,ADP
1,1Aw02,2,1,Aw02,Aw02,Aw02,the,the,the,2,3,Function,NA,PRON
1,1Aw03,3,1,Aw03,Aw03,Aw03,right,right,right,3,5,Content,NA,INTJ
1,1Aw04,4,1,Aw04,Middle1,Middle1,"hands,","hands,",hands,4,5,Content,0.19890727,NOUN
1,1Aw05,5,1,Aw05,Middle1,Middle1,location,location,location,5,8,Content,0.03894925,NOUN
1,1Aw06,6,1,Aw06,Middle1,Middle1,data,data,data,6,4,Content,0.1480623,NOUN
1,1Aw07,7,1,Aw07,Middle1,Middle1,can,can,can,7,3,Function,0.26940092,AUX
1,1Aw08,8,1,Aw08,Middle1,Middle1,be,be,be,8,2,Content,0.18641174,AUX
1,1Aw09,9,1,Aw09,Middle1,Middle1,a,a,a,9,1,Function,WordNotInVocabulary,INTJ
1,1Aw10,10,1,Aw10,AEN-2,AEN-2,force,force,force,10,5,Content,0.17273621,NOUN
1,1Aw11,11,1,Aw11,AEN-1,AEN-1,for,for,for,11,3,Function,0.3067746,ADP
1,1Aw12,12,1,Aw12,AEN,AEN,good.,good.,good,12,4,Content,0.23564492,ADJ
1,1Bw01,13,2,Bw01,Bw01,Bw01,It,It,It,1,2,Function,,PRON
1,1Bw02,14,2,Bw02,Bw02,Bw02,can,can,can,2,3,Function,NA,AUX
1,1Bw03,15,2,Bw03,Bw03,Bw03,provide,provide,provide,3,7,Content,NA,VERB
1,1Bw04,16,2,Bw04,Middle2,Middle2,publishers,publishers,publishers,4,10,Content,0.05021832,NOUN
1,1Bw05,17,2,Bw05,Middle2,Middle2,and,and,and,5,3,Function,WordNotInVocabulary,CCONJ
1,1Bw06,18,2,Bw06,Middle2,Middle2,app,app,app,6,3,Content,0.29272696,NOUN
1,1Bw07,19,2,Bw07,Middle2,Middle2,developers,developers,developers,7,10,Content,0.4614679,NOUN
1,1Bw08,20,2,Bw08,Middle2,Middle2,with,with,with,8,4,Function,0.11104169,ADP
1,1Bw09,21,2,Bw09,Middle2,Middle2,advertising,advertising,advertising,9,11,Content,0.34314528,NOUN
1,1Bw10,22,2,Bw10,Middle2,Middle2,revenue,revenue,revenue,10,7,Content,0.35933354,NOUN
1,1Bw11,23,2,Bw11,Middle2,Middle2,so,so,so,11,2,Function,0.1591407,ADV
1,1Bw12,24,2,Bw12,Middle2,Middle2,consumers,consumers,consumers,12,9,Content,0.44354752,NOUN
1,1Bw13,25,2,Bw13,Middle2,Middle2,can,can,can,13,3,Function,0.16670196,AUX
1,1Bw14,26,2,Bw14,Middle2,Middle2,access,access,access,14,6,Content,0.27431247,NOUN
1,1Bw15,27,2,Bw15,Middle2,Middle2,free,free,free,15,4,Content,0.2546544,ADJ
1,1Bw16,28,2,Bw16,BEN-2,BEN-2,services,services,services,16,8,Content,0.38203257,NOUN
1,1Bw17,29,2,Bw17,BEN-1,BEN-1,and,and,and,17,3,Function,WordNotInVocabulary,CCONJ
1,1Bw18,30,2,Bw18,BEN,BEN,information.,information.,information,18,11,Content,0.3133981,NOUN
2,2Aw01,1,1,Aw01,Aw01,Aw01,Paying,Paying,Paying,1,6,Content,,VERB
2,2Aw02,2,1,Aw02,Aw02,Aw02,for,for,for,2,3,Function,0.21808401,ADP
